player_name,country_code
peachbiscuit,BE
S304,TH
RaWRpewpew,ZA
Owres,GB
malimonkey,HR
Asuras,DE
[SG]VictorXII,US
[APE]Dog1IsOpen,DK
AcidRogue,BG
nottora,JP
Grub1dge,GB
PaciF1ST,ZA
BeerGoggles,GB
Hiroshi97,MY
UltronMed,MD
BOBI,MV
GrillTofu,AU
mnt,DE
Pheonix1987,GB
PlatinumBlonde,PL
Trollslayer,AU
lac_lac,VN
Blood_Ey3,FR
HaltbarerKakao,DE
Spaghettix,FR
Hompie1973,BE
SirJebus,US
Simajl,LT
ShotSam,NL
Phoenix03,DE
Goldeneyes,NL
Bubz,GB
RainerUnfug,DE
Qubycus,GB
adalaba,AU
Pacas88864,ES
XODOP,RU
Koscheu,RU
Timel96,GB
sonicfayt,US
Audi_Murphey,US
Unton,AU
StumpyLongLegs,AU
Sansakerta,ID
Hellzie,PK
AnzacDiver,AU
Orangean0l,US
Camellll,IT
itch4killz,US
Kurosul,PH
GOODDAY,US
Plagzor,CZ
jy02112081,CN
ITALIA,IT
No_Air,US
RefuseToLearn,US
ZGL,US
Eristoff,AT
yihuaerguo,CN
Lahe,DE
FatPanda,HK
NIDH,CN
[MY]Kisaki,CN
Heresyz92,CN
Download,CN
Alkoholic,BE
tomcheng,CN
Brownbear,CN
plmmmm,CN
KRONSTADT,CN
hJfIDOk4Q0,NL
Thebirdman,AU
Tangokiller,FR
Koven,AU
ThePurpleMan65,AU
dartingowl,SE
RegrettedKarma6,AU
_harrydavid_,AU
Bali_Shag,IL
winterolller,SG
FAJUK21,GB
jambrini,GB
qsauce,JP
PlsHelpSendTroops,??
HellRider,RO
p1inguin,BR
Dogstar_Nova,AU
willdesbois3,FR
KINTUS,FR
discoverer,GB
Fluff,AU
Dayan,IL
WarAngels,TH
Mewi,MY
Jinx1234321,NZ
Dauntless,ZA
StretchyPants,US
hscsd,FI
Mysthik,DE
Papperskorg,DE
Smoked2Much,DE
Alaa,TR
animaal,BE
SpookySpazo,AU
CactusDrinker,NZ
Minden6o,HU
Tr8tor,AU
GodDZilla,RU
somberlight,US
Rootkit110,DE
Kaioshin,DE
Robi963,DE
Mimikatz,GB
ss166520,CN
Wahnsin,UA
Faceless_Prophet,??
EngineX__2002,PH
LEGENDARYgGAMEyt,RU
PaIa,DE
Psionical,DE
Haymancay,AU
Hauaz,CH
DeadPulse,GB
Wfmadsen,DK
MikeTesla,NL
Torotron,US
SlayersInc,AU
wtfer,RS
Desty,AU
Arar,IN
XMF,HU
ange_black,FR
WeinerDinner,PH
fly8659,AU
Kees2,ES
Zeeva,AU
MrEnemy,RU
ObjectR3D,AU
Solar_Shooter576,LK
DJID1234,LK
goku1,US
Repeater,SK
RodT09,GB
Kyle_25,GB
kaasbroodje,NL
Hans1,HR
CrackerJackSmack,AU
BelugaMale,GB
GuiTou,FR
simavark,LT
HurrPurr,NZ
Winchester_Magnum,KH
realisticjoseph,GB
Marionas,DE
greenphox,GR
bucketphobia,SA
Wind,US
Rippsy,GB
Marlin,DE
Syphos,NL
slink1,GB
ZappBrannigan,US
hatow,US
[DmE]TreoTor,DE
BoomBoog,RU
XNova,ZA
ThatManMelvin,NL
Boombastian,DE
hougoul1,FR
broonx,FR
[DmE]Dreamlight,CA
Sykazomass,FR
Tobiyas,MY
Befa,FR
Brookmier,GB
R3stricti0N,AU
Banshax,NL
Nicopos1,DE
ReasonNippel,DE
Jesterz,AU
LuisGalaxyTT,DE
Zombrained,CA
adzii,GB
myriari,??
trash_exe,AU
KorayDT,DE
SkadiLost,DE
TwoStreams,AU
PWRBTTM,PL
DraculDaculDRAC,GB
JULIOSINCE83,BR
Blackbaro,BE
[BE]PostOrderNoob,BE
Quadfathe3r,AU
intas,LT
DillPickle7,US
[BE]Pindakaas,BE
MaTyZcz,CZ
[BE]BennyWays,BE
Kenno,DE
NextEpisode,ES
Fubaxx,BR
moonthefirst,FR
Philton,DE
321_,CN
summerxr,TH
test2,DE
eggsys,TH
FarQ,??
ZegarZ,PL
[BAC]Encyclopedia,LK
FFF_,MOON
olavgg,NO
Belisarius98,GB
Kalez,FI
axyeoh,AU
hungryorge18,PH
Sachsenpower,DE
Pandaass,AU
Neodork,NL
Dr_Wernher,NL
macrooni,US
Layinn,NL
MrEasyfrag,FR
FlyingTacos,FR
capricious,US
GTOJOE,US
Darckjador,FR
vendetta42,FR
Oben,AU
Chemical,IL
YAOUCH,FR
BigManBackLine,NL
MrDutchDaniel,NL
Nevu,PL
ItaArrivatoSecondo,PL
lickmycheese,US
GaltNO,NO
[Grump]agressa,NZ
BIG_OTEN,PH
badbot,GB
OsRam,DE
Zeff,FR
ForThoseWhoComeAfter,??
3xcentric,MV
subject_az919l,GB
FlyingLlamaZA,NZ
badluck3737,TR
Troy3269,AU
donec__quis,AT
Decepticon,RS
Daylightzi,NZ
[CL]EagleEye,BE
kolchawal,TH
THATMORALGUY07,US
Nikita98,UA
Mikasiki,HK
kronssh,AU
[DmE]spieles21,AT
Razer88,US
[HRX]theygavemeFIRE,DE
Corrupter,US
Kiwi_,NZ
LvYe_NL,US
Heim,NZ
LynksDisease,AU
Gawr,US
Breadroll,NZ
Techenjoyer,NZ
elegantwish,FR
UnM0le,IN
ItsNoGood,US
wrapChaos,RU
CharlesMANCE,MY
BleepBop,GB
Equilibrity,US
Azzoko,DE
Norela,TR
RebelNode,FI
Biggin,US
Ssevens,EG
bigchungus_,AU
Duke_of_Stars,AU
BlackBatA8T,AU
Whamsize,GB
Zoidlberg,DE
xeonite,GB
SupremePakCommander,GB
danwib,GB
masatrim,AU
Lemekpatrefort,CA
Reversedfate,LV
Isobaric,ZA
Hohls,ZA
thatjeddaguy,AU
Specht,UA
DarSchlumpf,DE
Svinpals,SE
Nausicaa,DE
romanianpowder,RO
Moemoe,CH
JoeyTP,GB
FrostyBollox,GB
jan_303,PL
Schizofuel,GB
Omakron,CH
JimmyQ82,AU
Uniform154,FR
ps1x,RU
spoderfriend,SE
Nat135,AU
AzurePure,SG
Zutra,CZ
NukeEnjoyer,MY
degrotepeter,NL
MrsTorgue,DE
ASDASDZXC,CN
soren_max,AU
OldManGaming,NL
cLimbo,LT
Hexi,US
Dread29,US
Frosty4ever,CZ
MrKicks,NZ
holoM,RU
TheSaltyOne,NL
TheStruggle,ES
LoVeShielD,FR
Alleztintin,FR
Buba,CZ
EcLYps,RO
Liscano,DE
SW33T_JP,CA
jarjarbinka,AU
Basirzom,RU
Altaor,BE
Alandalu,ES
ReaveRM8,AU
Ultimatechibby,AU
Cryp,DE
drakcore,ZA
kelleyneedsajob,AU
TheWarrior,AU
TikTok,ID
ShadowEmber11,US
Smuc,DE
AtlasWolfgang,AU
Moonwalker,DE
SILVRSTORM,AU
[Hase]Paulaner,DE
CitizenThree,NZ
AngelBoa,TH
MrSyrupman,AU
Danjisan,IT
Radgie,GB
Sowfia,IT
Ralph24,NL
Kendyman,IT
lord_bulart,BE
Kloke,UA
LouisNsH,IR
Spawsh,FR
musicformybumhole,GB
klocek,PL
HerbApproach420,CA
thatguy11222,US
L3GION,US
Shirokuro546,??
DIGit,US
Enbar,DE
Narukar,TR
Variable,AU
marcel3326,DE
SlapsDominoes,AU
[Omi]valb59,FR
ZergLisk,DE
Asryael,AU
johnwick,GB
zozopoo,TH
zapht,US
dzidex121,PL
Idanno202,IT
dzikiTygrys12,PL
KiIIjoy,GB
Methadrone,NZ
Alphacuremom,DE
TheCzuro,PL
Invisions,AU
Reiki,PH
Reytis,DE
Hotdawg,US
Roof_Top,KR
Aviv,IL
Oligodendrocyte,US
Ayusa,JP
Scorchey22,PH
Parelus,DE
soar,AU
RaisinJuice,US
CausticAcid,US
PingpongNightshow,TH
host,SG
Kamtsikis,GR
ChopFace,AU
Wienkszy,PL
Azeil,AU
bBAD,??
Red_John,DE
[SC]HEZI,CN
PizzaLove21,KR
Lord_Brad,US
kalkuttakutte,CH
babamba,KR
Hummell,DE
r0asteD,NZ
Wraith_303,GB
NuTCrAcK,DE
Unrelenting,US
PerAsperaAdAstra,IT
Stelios,CA
SpiceRub,AU
[Baltasar],HU
GuntherTaxRebate,DE
nKyra,??
jamytamy,CA
Maximbing,US
FrostLord,US
Jaxjackrabbit,AU
ka0123,MY
TEEAA,TW
killerstorm,??
tomlockwood,AU
bahlomator,DE
wexos,CH
imlolish,CH
jessies,AU
fu127098,CN
Necr4l,FR
Windy,AU
eumelbeumel,DE
70k3r,LT
BenziR,IL
antos7096,FR
Skinnerlolj,GB
DarkoZz,FR
B0untyx,DE
LRG,CY
BrowningAutoRifle,CA
cerastis,US
Swordoff,PL
Szymlep_,PL
DzikiCyc,PL
PeckerHead,US
BigMcLargeHuge88,US
angelye,FR
8x6er,US
fragged_again,NZ
SpaceBoarder,DE
Grakvaloth,DE
polewaj,MY
ALCOCHOLIK,PL
Razis,PL
SavageLuc,DE
Benson,DE
Dertia01,FR
Bardok,AU
GODOFWAR09,IN
kat_the_vat,US
Dark_Rainboww_744,RU
BadKArma1,AU
Sambrosi,DE
ChickenSticks,AU
RedLyoE,US
acidtechno303,BE
onep231,KR
RogShotz,US
llirreW,US
[DRUNK]DaXneX,ES
WorkingLegend,AU
omar_kh,EG
DarKNFury,NL
[H2H]Parzival,GB
pyro066,IT
ShokoAsahara,FI
h133,CN
congxin,CN
sarewell92,FR
Buijsinator,NL
bar2hard,AU
Elthalor,NL
Cabunag,GB
xoxlandia,UZ
[Omega]Nemesis,AR
moh7ero99,DE
hackelele,GB
[Crd]YOUNS,EG
[DmE]C3BO,GB
OutOfMana,DE
TookMyLove,EG
[Grump]RaimonNL,NL
orange_state,DE
Jasperc40,NZ
Bethezard,LV
outerHeaven,PL
Kilo_Gram,FR
wambits12,AU
chav_zack,JE
[DmE]ChickenDinner,DE
Erebus_,US
Efsyr,FR
Budanov,UA
LexaBarbos,RU
JollyB,FI
North_korean,DZ
chicken_tikka_masala,IN
BARGHAST,GB
czarnakurwa,PL
Baderinio,PL
FantasticU,PH
Jimjase,GB
muddy,GB
DebilStriker,DE
Codetokage,MY
[COA]mr_S0P,BA
lion7,NL
ToazW,FI
Evangelion,CH
M4rkZ3ro,FI
Crinight,RO
ArmoredPsycho,FI
[SG]Luisb288,DE
Schlop,AU
Siko,UA
zl07y,PL
Lungenbroetchen,DE
TOWGA,GB
user001,CA
cosmicfae,DE
BobbyTheToxic,PL
Thealpl,PL
Rydz,PL
taknie,PL
1234ffeny,PL
JsTvChesney,GB
[HRZ]Onlytech,FR
aegenubis,DE
ladderwright,US
OFFCHOPS,AU
Wombie,AU
Gingerninja9090,ZA
PRZLTN,HU
JouJozko,SK
[Su29]JustFun4noku,RU
TheJuje,US
onebuttonbob,DE
[Hase]BlackFourteen,DE
Banana007,DE
Dariesta,PL
Skeys13,US
patte19,FI
Nr2117,ES
Techbot,NL
KODY,FR
KingandCountry,GB
zwatty,US
Geronimofo,US
Creeps,US
Morpheus187,CH
[NEEF]Sukael,NL
Hard2kill,DE
Pitti_Uomo,IT
Kombiwalze,DE
Axesor,CZ
cC]Cane,TR
Ape3000,FI
ARCanea,FR
Pascal,NL
NoobLube,US
DaSkidz,AU
Artanyx,ES
[BARf]TommieBommie,NL
[BARf]TechnoPhyle,NL
Player473,LA
Mania09984,VN
BEARSLAYER,NL
fly,US
Asrathi,US
DRONDSET,FR
Blackbird357,AT
fire_eater,BY
ArchNiki,RU
InABlink,GB
sweatyfish,US
FelinJet3,BE
jabberwack,DE
onoroboto,US
JGeks,US
Psalm144_1,US
Nikkoton,FI
HelsHound,ZA
bnw15,US
Sessiz_Komutan,TR
Tooobey,DE
Spolkip,GR
notthatJazza,AU
jonakin,CO
MaikAustria,AT
SimpleBlue25,IN
FiddlerOfMalaz,BE
BBQ_tomato,JP
Warpugss,US
Jim_Botron,US
Supersoviet,US
Bazdah,GB
Pillemann,CH
yeskinkot,RS
TheRestLess,GR
ExaltedBlue,AU
GrogMonster,AU
Shootah,US
Nave560,US
floliverk,AU
netacsss,TH
tave,KI
bcmb,US
SomdetDetected,TH
MoRaNaPhaPH,TH
[Bats]bobothemonkey,US
PFA1,RO
VirtualP,GB
[zip],DE
snifiboy,FR
[XX]fadedago,HK
Capt_krouser,TR
Doushibag,??
sjamuel,NZ
Cerberon88,AU
NoMADi,FI
ziyan92,CN
Lesny,PL
[FN8DC]TomPrime,DE
Moxima,US
PhilMcKraken,US
Jackal_Generalen,SE
picklemytickle55,US
ihaveabomb,US
[TYL]Lampie,NL
Moohy,EG
[KAF]Hive5phere,DE
daboss,CA
Megax780,US
Chronographer,AU
BarbieCommander,UA
marager,IL
samuelhope,NZ
Shark_blub,NZ
Section8Baby,US
Fearow_Nik,ES
[QUOK]Tallme2,AU
PainfullySweet,CA
Flibble,GB
RAAS13,PL
Suntzu_AU,AU
xXLordreamerXx,DE
KlLOLO,ZA
bleiregenxxx,DE
jnarrm,US
Derh,IT
geralt99,IT
Kengu,RU
cheezer,GB
Jase,CA
runninghorse,GB
StressfullSituation,DE
Ethrillarr,AU
Verula,AU
Skibidiwc,DE
oldworldpainter,US
mxpal,HK
wackypanda,BE
powdie,AU
Kev0,AU
MisterYellow,AU
CNParker,AU
BekonoWich,KZ
[EXP]XEMO1,FR
Gromixson,PL
NastyBenji,AE
AngelIceheart,US
Kromex,DE
[G]Lord_fistycuffs,GB
Ownage,GR
swaldswar,FI
mhacky91,PH
cnyt,CN
Karma555,US
iMango,MX
Matty98,AU
chungzhu,TR
me102,NZ
Hatchamaback,US
SmellyPotatoJuice,AU
xMoDx,DE
Panzersepp,DE
Woofs_and_Barks,AU
sailoflight,CN
Anylastwords,CN
Dodoman1,US
[Wzup]kc,DK
Prykie,AU
OpenNoob,DE
Canndyman,US
Icanopen,US
cosmicnitra,US
RedFrost,US
llDeXll,RU
Klev,DE
mynumjames,AU
thepot,SG
Mohs,ES
Hapetus,FI
Vivi07,PH
[smile]Kato_Megumi,PH
Ev0lvEs,FR
NWJYCWHY,SG
NiiRexo,DE
JiiPee,FI
[Crd]_Shai_Tan,US
RebelVortex,NL
WitchDoctorJimbo,US
osk,FR
Reaperc373,US
Presszocigany,HU
CalmishPhill,US
darktoof,GB
Abyuyala,US
Gringogreg,FR
Clubsguard,GB
Ol_Jack_Burton,AU
Naedri,US
cooley525,US
Fred18_5,FR
screenlurker,US
admin_codi,PL
lizzard22,LV
Alantin,NL
Th3MightyRooster,AU
Miselatis,PH
kenping,MY
Jason,AU
[G]DorkSock,GB
[G]hellomynameisdan,GB
Reszek,PL
Wukonkly,US
CalebTheWise,US
JMWild12,GB
Roarz,GB
SunRisez,RU
Danila_Zov,RU
Nazgoth,US
BLAME_AIR,US
omegadon,CA
taelaren,US
snehopan,CZ
PinkHole,CN
Bananberg,SE
eggsaisle,US
WickWeak,RO
Alexspeed,DE
sagitta,BE
Riki_I,EE
YourFather,PL
Nivrik,DE
charliew,US
Marus,RU
